Symbol	Germ_layer
PAF1	endoderm
SMAD4	endoderm
CTNNB1	endoderm
SMAD3	endoderm
ZFP36L1	endoderm
WNT8A	endoderm
DKK1	endoderm
HOXC11	endoderm
HSBP1	endoderm
DKK1	endoderm
EOMES	endoderm
TGFB1	endoderm
FN1	endoderm
VTN	endoderm
ITGB2	endoderm
ITGAV	endoderm
LAMB1	endoderm
MMP2	endoderm
INHBA	endoderm
COL4A2	endoderm
ITGA5	endoderm
APELA	endoderm
LAMC1	endoderm
COL11A1	endoderm
COL6A1	endoderm
BMP4	endoderm
ITGA4	endoderm
MMP9	endoderm
ITGB5	endoderm
MMP8	endoderm
COL8A1	endoderm
DUSP1	endoderm
CTNNB1	endoderm
HNF1B	endoderm
GATA4	endoderm
NKX2-1	endoderm
NOTCH1	endoderm
SOX2	endoderm
LHX1	endoderm
MMP14	endoderm
MMP15	endoderm
HMGA2	endoderm
FGF8	endoderm
PAX9	endoderm
SMAD3	endoderm
POU5F1	endoderm
COL7A1	endoderm
HHEX	endoderm
DUSP2	endoderm
ZFP36L1	endoderm
BPTF	endoderm
DUSP4	endoderm
NOG	endoderm
SMAD4	endoderm
ITGA7	endoderm
LAMB3	endoderm
SMAD2	endoderm
EXT1	endoderm
DUSP5	endoderm
LAMA3	endoderm
PAX9	endoderm
BMP4	endoderm
SMAD2	endoderm
HNF1B	endoderm
CDC73	endoderm
CTR9	endoderm
ARC	endoderm
PAF1	endoderm
LEO1	endoderm
RTF1	endoderm
GATA6	endoderm
MED12	endoderm
KIF16B	endoderm
NODAL	endoderm
COL12A1	endoderm
PELO	endoderm
SOX7	endoderm
SETD2	endoderm
MIXL1	endoderm
SOX17	endoderm
NANOG	endoderm
GDF3	endoderm
ONECUT1	endoderm
TBX20	endoderm
TP63	mesoderm/ectoderm
TP63	mesoderm/ectoderm
NF2	ectoderm
CTNNB1	ectoderm
ZBTB7B	ectoderm
KRT6B	ectoderm
ITGAM	ectoderm
ETS2	ectoderm
ITGA6	ectoderm
STX2	ectoderm
CTNNB1	ectoderm
NF2	ectoderm
LHX1	ectoderm
ZBTB17	ectoderm
SHH	ectoderm
VPS52	ectoderm
VPS52	ectoderm
AMER2	ectoderm
GRHL3	ectoderm
EDA2R	ectoderm
SMURF1	ectoderm
VAX2	ectoderm
ELF5	ectoderm
EPHA2	mesoderm
NF2	mesoderm
SMAD4	mesoderm
SMAD3	mesoderm
PRKACA	mesoderm
EYA1	mesoderm
RPL38	mesoderm
SRF	mesoderm
LEF1	mesoderm
CITED2	mesoderm
INHBA	mesoderm
MSGN1	mesoderm
TSPY2	mesoderm
BMP7	mesoderm
PRKAR1A	mesoderm
PPP2CA	mesoderm
ACVR1	mesoderm
HNF1A	mesoderm
DKK1	mesoderm
EYA2	mesoderm
ETV2	mesoderm
OVOL1	mesoderm
KDM6B	mesoderm
TBX3	mesoderm
AXIN1	mesoderm
T	mesoderm
KDM6A	mesoderm
TBX1	mesoderm
KLF4	mesoderm
TLX2	mesoderm
JAK2	mesoderm
FOXH1	mesoderm
DKK1	mesoderm
GDF11	mesoderm
CTDNEP1	mesoderm
SNAI1	mesoderm
EOMES	mesoderm
TBX6	mesoderm
HAND1	mesoderm
WNT11	mesoderm
AMH	mesoderm
ITGB3	mesoderm
ITGB1	mesoderm
GPI	mesoderm
INHBA	mesoderm
HCK	mesoderm
TSPY3	mesoderm
TSPY4	mesoderm
TSPY8	mesoderm
TSPY10	mesoderm
PRKAR1A	mesoderm
FGFR1	mesoderm
SRF	mesoderm
BMP4	mesoderm
ETS2	mesoderm
VEGFA	mesoderm
ITGB4	mesoderm
ITGA2	mesoderm
PRKACA	mesoderm
BMP7	mesoderm
FGFR2	mesoderm
ITGA3	mesoderm
ACVR2A	mesoderm
EPHA2	mesoderm
HOXA11	mesoderm
NF2	mesoderm
TIE1	mesoderm
WNT5A	mesoderm
MATK	mesoderm
LHX2	mesoderm
BMX	mesoderm
HMGA2	mesoderm
ITGA8	mesoderm
WNT3	mesoderm
WNT3A	mesoderm
RPL38	mesoderm
PPP2CA	mesoderm
IRX3	mesoderm
SMAD3	mesoderm
TSPY1	mesoderm
POU4F1	mesoderm
PAX2	mesoderm
ACVR1	mesoderm
BTK	mesoderm
MESP2	mesoderm
TCF15	mesoderm
FOXF1	mesoderm
FOXC1	mesoderm
NOG	mesoderm
IKZF1	mesoderm
SMAD4	mesoderm
ACVR2B	mesoderm
BMPR2	mesoderm
MESD	mesoderm
SHH	mesoderm
TEAD2	mesoderm
SMAD2	mesoderm
SMAD1	mesoderm
EXT1	mesoderm
TXNRD1	mesoderm
BMP4	mesoderm
SMAD2	mesoderm
MEST	mesoderm
CRB2	mesoderm
WLS	mesoderm
SCX	mesoderm
PALB2	mesoderm
DAND5	mesoderm
POGLUT1	mesoderm
OSR1	mesoderm
NUP133	mesoderm
SECTM1	mesoderm
ZFPM2	mesoderm
NR4A3	mesoderm
EXT2	mesoderm
EXOC4	mesoderm
NODAL	mesoderm
EYA1	mesoderm
SMO	mesoderm
FOXC2	mesoderm
CITED2	mesoderm
MESP1	mesoderm
HES7	mesoderm
SETD2	mesoderm
TRIM15	mesoderm
TWSG1	mesoderm
CHRD	mesoderm
SIX2	mesoderm
GDF3	mesoderm
DLL3	mesoderm
LEF1	mesoderm
IKZF3	mesoderm
POFUT2	mesoderm
FOXC1	mesoderm
