"V1";"V2"
"SOX17";"endoderm"
"FOXA2";"endoderm"
"HNF4A";"endoderm"
"SH3GL2";"endoderm"
"AFP";"endoderm"
"APOE";"endoderm"
"KRT19";"endoderm"
"EMB";"endoderm"
"GATA4";"endoderm"
"SOX7";"endoderm"
"KRT7";"endoderm"
"TMPRSS2";"endoderm"
"CLDN6";"endoderm"
"EPCAM";"endoderm"
"GATA6";"endoderm"
"HHEX";"endoderm"
"GBX2";"ectoderm"
"PAX6";"ectoderm"
"NES";"ectoderm"
"FOXJ3";"ectoderm"
"FGF5";"ectoderm"
"SOX1";"ectoderm"
"TUBB3";"ectoderm"
"NOG";"ectoderm"
"OTX2";"ectoderm"
"CHRD";"ectoderm"
"PAX2";"ectoderm"
"FGF8";"ectoderm"
"DES";"mesoderm"
"TWIST2";"mesoderm"
"MIXL1";"mesoderm"
"BMP2";"mesoderm"
"FOXA2";"mesoderm"
"SNAI1";"mesoderm"
"GDF3";"mesoderm"
"TGFB1";"mesoderm"
"MESDC2";"mesoderm"
"TBX6";"mesoderm"
"GDF1";"mesoderm"
"EOMES";"mesoderm"
"NODAL";"mesoderm"
"NCLN";"mesoderm"
"HAND1";"mesoderm"
"WNT3A";"mesoderm"
"MEOX1";"mesoderm"
"TWIST1";"mesoderm"
"GSC";"mesoderm"
"FOXC1";"mesoderm"
"BMP4";"mesoderm"
"T";"mesoderm"
"BAMBI";"mesoderm"
"WNT8A";"mesoderm"
"ELF5";"trophectoderm"
"TFAP2C";"trophectoderm"
"SYNA";"trophectoderm"
"CDX2";"trophectoderm"
"TEAD4";"trophectoderm"
"FGFR2";"trophectoderm"
"ASCL2";"trophectoderm"
"FGF4";"trophectoderm"
"EOMES";"trophectoderm"
"ID2";"trophectoderm"
"PCDH12";"trophectoderm"
"FGF4";"core_pluripotency"
"GDF3";"core_pluripotency"
"POU5F1";"core_pluripotency"
"SALL4";"core_pluripotency"
"SOX2";"core_pluripotency"
"TDGF1";"core_pluripotency"
"UTF1";"core_pluripotency"
"DPPA3";"naive_pluripotency"
"ESRRB";"naive_pluripotency"
"FBXO15";"naive_pluripotency"
"KLF2";"naive_pluripotency"
"KLF4";"naive_pluripotency"
"KLF5";"naive_pluripotency"
"NANOG";"naive_pluripotency"
"TBX3";"naive_pluripotency"
"TFCP2L1";"naive_pluripotency"
"ZFP42";"naive_pluripotency"
"OTX2";"formative_pluripotency"
"POU3F1";"formative_pluripotency"
"CER1";"primed_pluripotency"
"FGF5";"primed_pluripotency"
"FOXA2";"primed_pluripotency"
"LEF1";"primed_pluripotency"
"NODAL";"primed_pluripotency"
"DAZL";"germline"
"DRDM14";"germline"
"BLIMP1";"germline"
"VASA";"germline"
"DPPA3";"germline"
"NANOG";"germline"
"TFAP2C";"germline"
"PIWIL1";"germline"
"PIWIL2";"germline"
"PIWIL3";"germline"
"SYC1";"germline"
"TEAD4";"germline"
"DND1";"germline"
"MAEL";"germline"
"SYCP3";"germline"
"RNF17";"germline"
"TDRD5";"germline"
"TDRD9";"germline"
